Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Julie Pierce,"Director of Openness, Digital and data",Annual Dinner,TechUK,2018-07-11,2018-07-13
Julie Pierce,"Director of Openness, Digital and Data",Dinner,Rainmaker,2018-07-18,2018-07-20
