Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Julie Pierce,Director of Openness Digital and Data,Dinner ,Alpine ,2018-10-09,2018-10-10
Jason Feeney,Chief Executive,Accommodation and evening meal,Association of Independent Meat Suppliers,2018-10-09,2018-10-11
Julie Pierce,"Director of Openness, Digital and Data",Dinner,Civica,2018-11-19,2018-11-22
