Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Colin Sullivan,Chief Operating Officer,Evening meal whilst on international business,Food Standards Scotland,2020-02-02,2020-02-02
Colin Sullivan,Chief Operating Officer,Evening meal whilst on international business,Food Standards Scotland,2020-02-04,2020-02-04
Colin Sullivan,Chief Operating Officer,Evening meal whilst on international business,Food Standards Scotland,2020-02-07,2020-02-07
Colin Sullivan,Chief Operating Officer,Evening meal whilst on international business,Food Standards Scotland,2020-02-10,2020-02-10
