Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Maria Jennings,Director for FSA Northern Ireland and Organisational Development ,Dinner,Hospital Caterers Association,2017-04-06,2017-04-06
Maria Jennings,Director for FSA Northern Ireland and Organisational Development ,Dinner,Northern Ireland Grain Trade Association,2017-05-03,2017-05-03
Maria Jennings,Director for FSA Northern Ireland and Organisational Development ,Dinner,Deloitte Food & Drink Industry ,2017-05-23,2017-05-23
Julie Pierce,"Director of Openness, Digital and Data",Dinner and 2 battery power packs ,Veeam ? Digital leaders,2017-05-24,2017-05-24
Julie Pierce,"Director of Openness, Digital and Data",Amazon Gift Voucher for completing an IT survey,Bill Miller ? Topline Strategy ,2017-05-25,2017-05-25
Jason Feeney,Chief Executive,Evening Meal,Food and Drink Federation,2017-06-26,2017-06-26
