Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Julie Pierce,"Director of Openness, Digital and Data",Breakfast,KPMG Business Women's Network,2016-02-08,2016-02-08
Catherine Brown,Chief Executive,Drinks etc. at official event,Whitehall and Industry Group,2016-02-09,2016-02-09
Catherine Brown,Chief Executive,Breakfast,Institute of Directors,2016-02-17,2016-02-17
Catherine Brown,Chief Executive,Lunch ,Chesterfield Poultry,2016-02-17,2016-02-17
Julie Pierce,"Director of Openness, Digital and Data",Drinks,Fujitsu,2016-03-01,2016-03-01
Catherine Brown,Chief Executive,Dinner,Whithall Industry Group Board,2016-03-17,2016-03-17
Catherine Brown,Chief Executive,Lunch during official visit,Cranswick Country Foods Ltd,2016-03-22,2016-03-22
